customer_id,join_date,district,latitude,longitude,verification,country,lifetime_bookings,avg_rating,cancellation_rate,is_business_traveler
EC67B3D3,2017-10-29,Spandau,52.46874274037031,13.23589820443384,Verified,UK,4,5.0,0.085,0
4F7ECF22,2018-10-09,Spandau,52.54557595129319,13.422307793384684,Verified,UK,33,4.46,0.122,0
57A5FF01,2017-04-18,Neukölln,52.50310692815122,13.382851776698777,Verified,CAN,17,4.64,0.001,0
DF5F784F,2015-06-22,Tempelhof-Schöneberg,52.4311793467372,13.259087965387126,Partial,JPN,24,4.69,0.023,0
B980784F,2021-07-10,Friedrichshain-Kreuzberg,52.493473432088685,13.205993383325318,Verified,FRA,2,4.7,0.1,1
C6BE3E19,2020-05-05,Mitte,52.52294920716721,13.232324314859259,Verified,USA,3,4.6,0.149,0
54E8A968,2018-08-12,Friedrichshain-Kreuzberg,52.54466679925389,13.476446441480308,Verified,GER,7,4.32,0.127,0
987159D7,2022-07-31,Lichtenberg,52.53755514141743,13.347631641591027,Verified,BRA,11,5.0,0.149,0
F1416FB7,2024-09-09,Neukölln,52.5572083636595,13.491362571924004,Verified,BRA,0,4.03,0.145,0
EC37D8D5,2018-12-18,Lichtenberg,52.47780015177614,13.402525675250214,Partial,AUS,16,5.0,0.054,0
FBDAB27A,2018-09-06,Pankow,52.43594744814661,13.203950976219943,Verified,FRA,18,4.78,0.14,0
13982BA5,2022-02-04,Charlottenburg-Wilmersdorf,52.50378901444779,13.320885631062126,Partial,GER,5,5.0,0.129,0
3BE16388,2017-05-12,Lichtenberg,52.484925437533754,13.212987386770447,Verified,BRA,29,4.63,0.108,0
BA4686F9,2015-07-02,Spandau,52.40157885675068,13.397047755515333,Verified,USA,5,5.0,0.025,1
10B9C67C,2020-08-01,Friedrichshain-Kreuzberg,52.484131257771026,13.376566017598584,None,BRA,28,4.71,0.063,0
53AFC9AC,2021-06-06,Spandau,52.429479239682514,13.288865529618915,Verified,FRA,17,4.98,0.12,0
964A9736,2024-01-12,Lichtenberg,52.55471492032624,13.359372708305722,Verified,FRA,0,4.46,0.126,1
1D9A8EA1,2017-06-06,Mitte,52.426904072157974,13.298782718513351,Verified,FRA,20,4.6,0.043,0
8D5138AA,2016-05-03,Charlottenburg-Wilmersdorf,52.45669556738957,13.444882024292909,Partial,BRA,6,4.06,0.075,0
AF9A6E80,2017-03-18,Neukölln,52.47913667128889,13.309062306836,Verified,JPN,8,4.86,0.118,1
EFF19D4F,2021-02-06,Pankow,52.42923307512697,13.268206938100128,Verified,JPN,26,5.0,0.078,0
24F138B4,2020-04-02,Pankow,52.49697261016436,13.405319261737027,Partial,USA,1,3.71,0.028,0
272FA47F,2023-02-10,Friedrichshain-Kreuzberg,52.42370135838412,13.215919066017644,None,CAN,2,4.12,0.017,1
297F90A9,2020-08-09,Mitte,52.50065338447955,13.246907840844562,Verified,CAN,15,5.0,0.08,0
